material,carbon_footprint,recycled_percentage,lifecycle_score,sustainability_score,emissions,ESG_rating
Iron,38.07947176588889,18.34045098534338,0.7252813963310067,0.7300178274831857,19.4338644844741,A
Copper,95.1207163345817,30.42422429595377,0.41936688658110405,0.4493688608715288,13.567451588694796,A
Aluminum,73.46740023932911,52.475643163223786,0.3455361150896956,0.6160544169422486,41.436875457596464,AAA
Titanium,60.26718993550662,43.194501864211574,0.9642198760773333,0.6373682234746237,17.837666334679465,A
Tungsten,16.445845403801215,29.122914019804192,0.9759424231521916,0.3478835644204217,14.046725484369038,BB
Silicon,16.443457513284063,61.18528947223795,0.8658781436815228,0.9756677022116469,27.134804157912424,AA
Nickel,6.750277604651747,13.949386065204184,0.5132296384213595,0.8201062586888916,7.046211248738132,AA
Steel (Carbon),86.75143843171858,29.214464853521815,0.3683704798044687,0.9515991532513512,40.109849037701984,AAA
Stainless Steel 304,60.510386162577674,36.63618432936917,0.7789631185585097,0.915861880342119,3.727532183988541,BBB
Stainless Steel 316,71.09918520180851,45.606998421703594,0.6081067456177209,0.6783199830488682,49.34434683002586,AAA
Aluminum Alloy 7075,3.0378649352844422,78.51759613930136,0.38542676439134516,0.9374993880184934,38.61223846483287,BBB
Titanium Alloy,97.02107536403744,19.967378215835975,0.6466238370778892,0.2707940016415356,9.93578407670862,AA
Inconel,83.41182143924175,51.42344384136116,0.32407196478065287,0.3567862899353162,0.27610585618011996,AAA
Brass,22.02157195714934,59.24145688620425,0.9365242814551473,0.23618183112843047,40.77307142274171,B
Bronze,19.00067175350296,4.645041271999773,0.48114598712001183,0.4602642646106115,35.34286719238086,BB
